,Title,District,District ID,price,متراژ,نوع ملک,تعداد اتاق,پارکینگ,انباری,آسانسور,سن بنا,قیمت هر متر
23,فروش آپارتمان 127 متر در آپادانا - خرمشهر,آپادانا - خرمشهر,928,قیمت توافقی,۱۲۷,آپارتمان,۳,دارد,دارد,دارد,۵ سال,
24,فروش آپارتمان 101 متر در آپادانا - خرمشهر,آپادانا - خرمشهر,928,"9,590,000,000",101,آپارتمان,2,دارد,دارد,دارد,7 سال,"94,950,000"
25,آپادانا - مهناز، 60متر 1 خواب، فول، باز سازی شده,آپادانا - خرمشهر,928,"6,600,000,000",60,آپارتمان,1,دارد,دارد,دارد,7 سال,"110,000,000"
26,نیلوفر پالیزی 110 متر مسکونی,آپادانا - خرمشهر,928,"8,700,000,000",110,آپارتمان,2,دارد,دارد,,26 سال,"79,091,000"
27,عربعلی نوبخت / آپارتمان 115 متری 2 خواب,آپادانا - خرمشهر,928,"9,000,000,000",115,آپارتمان,2,دارد,دارد,,29 سال,"78,261,000"
28,فروش آپارتمان 180 متر در آپادانا - خرمشهر,آپادانا - خرمشهر,928,قیمت توافقی,۱۸۰,آپارتمان,۳,دارد,دارد,دارد,۱ سال,
29,سهروردی اپادانا130متر3خ نوساز فول,آپادانا - خرمشهر,928,"15,000,000,000",130,آپارتمان,3,دارد,دارد,دارد,نوساز,"115,385,000"
30,فروش آپارتمان 124 متر در آپادانا - خرمشهر,آپادانا - خرمشهر,928,قیمت توافقی,۱۲۴,آپارتمان,۳,دارد,دارد,دارد,۱ سال,
31,فروش آپارتمان 210 متر در سهروردی شمالی,آپادانا - خرمشهر,928,قیمت توافقی,۱۳۰,آپارتمان,۳,دارد,دارد,دارد,۲ سال,
32,فروش آپارتمان 125 متر در آپادانا - خرمشهر,آپادانا - خرمشهر,928,قیمت توافقی,۱۲۵,آپارتمان,۳,دارد,دارد,دارد,۳ سال,
33,فروش آپارتمان 180 متر در آپادانا - خرمشهر,آپادانا - خرمشهر,928,قیمت توافقی,۱۸۰,آپارتمان,۳,دارد,دارد,دارد,۲ سال,
34,سهروردی آپادانا - خرمشهر تکواحدی/ 195 متر,آپادانا - خرمشهر,928,قیمت توافقی,۱۹۵,آپارتمان,۳,دارد,دارد,دارد,۱ سال,
35,فروش آپارتمان 120 متر در آپادانا - خرمشهر,آپادانا - خرمشهر,928,قیمت توافقی,۱۲۰,آپارتمان,۳,دارد,دارد,دارد,۲ سال,
36,فروش آپارتمان 142 متر در سهروردی شمالی,آپادانا - خرمشهر,928,قیمت توافقی,۱۳۸,آپارتمان,۳,دارد,دارد,دارد,۲ سال,
37,فروش آپارتمان 85 متر در آپادانا - خرمشهر,آپادانا - خرمشهر,928,قیمت توافقی,۸۵,آپارتمان,۲,دارد,دارد,دارد,۳ سال,
38,یک واحد از سه واحد 115 متری در نوبخت,آپادانا - خرمشهر,928,"9,000,000,000",115,آپارتمان,2,دارد,دارد,,28 سال,"78,261,000"
39,فروش آپارتمان 117 متر در آپادانا - خرمشهر,آپادانا - خرمشهر,928,"11,700,000,000",117,آپارتمان,3,دارد,دارد,دارد,نوساز,"100,000,000"
40,فروش آپارتمان 106 متر در آپادانا - خرمشهر,آپادانا - خرمشهر,928,"9,200,000,000",106,آپارتمان,2,دارد,دارد,دارد,20 سال,"86,792,000"
41,فروش آپارتمان 105 متر در آپادانا - خرمشهر,آپادانا - خرمشهر,928,قیمت توافقی,۱۰۵,آپارتمان,۲,دارد,دارد,دارد,۱ سال,
42,فروش آپارتمان 193 متر در آپادانا - خرمشهر,آپادانا - خرمشهر,928,"15,440,000,000",193,آپارتمان,3,دارد,دارد,دارد,1 سال,"80,000,000"
43,فروش آپارتمان 130 متر در آپادانا - خرمشهر,آپادانا - خرمشهر,928,قیمت توافقی,۱۳۰,آپارتمان,۳,دارد,دارد,دارد,۱ سال,
44,فروش آپارتمان 135 متر در آپادانا - خرمشهر,آپادانا - خرمشهر,928,قیمت توافقی,۱۳۵,آپارتمان,۳,دارد,دارد,دارد,۱ سال,
45,فروش آپارتمان 175 متر در آپادانا - خرمشهر,آپادانا - خرمشهر,928,قیمت توافقی,۱۷۵,آپارتمان,۳,دارد,دارد,دارد,۱ سال,
46,فروش آپارتمان 115 متر در آپادانا - خرمشهر,آپادانا - خرمشهر,928,قیمت توافقی,۱۱۵,آپارتمان,۳,دارد,دارد,دارد,۱۷ سال,
47,فروش آپارتمان 140 متر در آپادانا - خرمشهر,آپادانا - خرمشهر,928,قیمت توافقی,۱۴۰,آپارتمان,۳,دارد,دارد,دارد,۲ سال,
48,آپارتمان دو خوابه پالیزی هفدهم,آپادانا - خرمشهر,928,قیمت توافقی,۸۹,آپارتمان,۲,دارد,دارد,دارد,۹ سال,
49,فروش آپارتمان 115 متر در آپادانا - خرمشهر,آپادانا - خرمشهر,928,"9,200,000,000",115,آپارتمان,2,دارد,دارد,دارد,17 سال,"80,000,000"
50,فروش آپارتمان 123 متر در آپادانا - خرمشهر,آپادانا - خرمشهر,928,"12,054,000,000",123,آپارتمان,3,دارد,دارد,دارد,4 سال,"98,000,000"
51,فروش آپارتمان 120 متر در آپادانا - خرمشهر,آپادانا - خرمشهر,928,قیمت توافقی,۱۲۰,آپارتمان,۲,دارد,دارد,دارد,۲ سال,
52,فروش آپارتمان 135 متر در آپادانا - خرمشهر,آپادانا - خرمشهر,928,"10,800,000,000",135,آپارتمان,3,دارد,دارد,دارد,16 سال,"80,000,000"
53,فروش آپارتمان 110 متر در آپادانا - خرمشهر,آپادانا - خرمشهر,928,قیمت توافقی,۱۱۰,آپارتمان,۲,دارد,دارد,دارد,۲ سال,
54,فروش آپارتمان 170 متر در آپادانا - خرمشهر,آپادانا - خرمشهر,928,قیمت توافقی,۱۷۰,آپارتمان,۳,دارد,دارد,دارد,۲ سال,
55,فروش آپارتمان 133 متر در آپادانا - خرمشهر,آپادانا - خرمشهر,928,قیمت توافقی,۱۳۳,آپارتمان,۲,دارد,دارد,دارد,۱ سال,
56,فروش آپارتمان 250 متر در آپادانا - خرمشهر,آپادانا - خرمشهر,928,قیمت توافقی,۲۵۰,آپارتمان,۳,دارد,دارد,دارد,۲ سال,
57,فروش آپارتمان 100 متر در آپادانا - خرمشهر,آپادانا - خرمشهر,928,قیمت توافقی,۱۰۰,آپارتمان,۲,دارد,دارد,دارد,۲ سال,
58,145متر شمال شریعتی نورگیر,آپادانا - خرمشهر,928,"7,900,000,000",145,آپارتمان,3,دارد,دارد,,1 سال,"54,483,000"
59,فروش آپارتمان 127 متر در آپادانا - خرمشهر,آپادانا - خرمشهر,928,"12,700,000,000",127,آپارتمان,2,دارد,دارد,دارد,نوساز,"100,000,000"
60,فروش آپارتمان 100 متر در آپادانا - خرمشهر,آپادانا - خرمشهر,928,قیمت توافقی,۱۰۰,آپارتمان,۲,دارد,دارد,دارد,۱ سال,
61,فروش آپارتمان 110 متر در آپادانا - خرمشهر,آپادانا - خرمشهر,928,قیمت توافقی,۱۱۰,آپارتمان,۲,دارد,دارد,دارد,نوساز,
62,فروش آپارتمان 175 متر در آپادانا - خرمشهر,آپادانا - خرمشهر,928,قیمت توافقی,۱۱۸,آپارتمان,۳,دارد,دارد,دارد,۲ سال,
63,110 متر تک واحد((سهروردی آپادانا)),آپادانا - خرمشهر,928,قیمت توافقی,۱۱۰,آپارتمان,۲,دارد,,دارد,۶ سال,
64,فروش آپارتمان 190 متر در آپادانا - خرمشهر,آپادانا - خرمشهر,928,قیمت توافقی,۱۹۰,آپارتمان,۳,دارد,دارد,دارد,۲ سال,
65,آپادانا - نوبخت، 96 متر 2 خواب، 2 پارکینگ سندی,آپادانا - خرمشهر,928,"10,500,000,000",96,آپارتمان,2,دارد,دارد,دارد,10 سال,"109,375,000"
66,مستغلات 470 متری در سهروردی شمالی,آپادانا - خرمشهر,928,"38,000,000,000",465,آپارتمان,5 به بالا,دارد,دارد,دارد,نوساز,"81,720,000"
67,آپارتمان 130 متر در آپادانا - خرمشهر,آپادانا - خرمشهر,928,قیمت توافقی,۱۳۰,آپارتمان,۳,دارد,دارد,دارد,۲ سال,
68,فروش آپارتمان 175 متر,آپادانا - خرمشهر,928,"17,150,000,000",175,آپارتمان,3,دارد,دارد,دارد,1 سال,"98,000,000"
69,فروش آپارتمان 145 متر در آپادانا - خرمشهر,آپادانا - خرمشهر,928,قیمت توافقی,۱۴۵,آپارتمان,۳,دارد,دارد,دارد,۲ سال,
70,فروش آپارتمان 90 متر در آپادانا - پالیزی,آپادانا - خرمشهر,928,"8,000,000,000",90,آپارتمان,2,دارد,دارد,دارد,7 سال,"88,889,000"
71,فروش آپارتمان 160 متر در آپادانا - خرمشهر,آپادانا - خرمشهر,928,قیمت توافقی,۱۶۰,آپارتمان,۳,دارد,دارد,دارد,۲ سال,
72,آجودانیه 363 متر 4 خواب / تراس قابل چیدمان/ مدرن,آجودانیه,930,قیمت توافقی,۳۶۳,آپارتمان,۴,دارد,دارد,دارد,نوساز,
73,فروش آپارتمان 230 متر در آجودانیه,آجودانیه,930,"23,750,000,000",230,آپارتمان,4,دارد,دارد,دارد,9 سال,"103,261,000"
74,فروش آپارتمان 100 متر در آجودانیه,آجودانیه,930,"11,800,000,000",100,آپارتمان,2,دارد,دارد,دارد,5 سال,"118,000,000"
75,فروش آپارتمان 180 متر در آجودانیه,آجودانیه,930,"24,800,000,000",180,آپارتمان,3,دارد,دارد,دارد,1 سال,"137,778,000"
76,فروش آپارتمان 290 متر در آجودانیه,آجودانیه,930,"32,000,000,000",290,آپارتمان,4,دارد,دارد,دارد,18 سال,"110,345,000"
77,فروش آپارتمان 220 متر در آجودانیه,آجودانیه,930,"35,000,000,000",220,آپارتمان,3,دارد,دارد,دارد,1 سال,"159,091,000"
78,فروش آپارتمان 80 متر در آجودانیه,آجودانیه,930,"13,500,000,000",80,آپارتمان,2,دارد,دارد,دارد,7 سال,"168,750,000"
79,فروش آپارتمان 140 متر در آجودانیه,آجودانیه,930,"21,000,000,000",140,آپارتمان,3,دارد,دارد,دارد,2 سال,"150,000,000"
80,116 متر در آجودانیه,آجودانیه,930,"12,600,000,000",116,آپارتمان,2,دارد,دارد,دارد,12 سال,"108,621,000"
81,فروش آپارتمان 100 متر در آجودانیه فوری,آجودانیه,930,"12,399,000,000",100,آپارتمان,2,دارد,دارد,دارد,2 سال,"123,990,000"
82,فروش آپارتمان 190 متر در آجودانیه,آجودانیه,930,"21,000,000,000",190,آپارتمان,4,دارد,دارد,دارد,18 سال,"110,526,000"
83,فروش آپارتمان 100 متر در آجودانیه,آجودانیه,930,"12,200,000,000",100,آپارتمان,2,دارد,دارد,دارد,2 سال,"122,000,000"
84,فروش آپارتمان 115 متری در نیاوران,آجودانیه,930,قیمت توافقی,۱۴۰,آپارتمان,۲,,,,,
85,فروش آپارتمان 140 متر در آجودانیه,آجودانیه,930,"12,500,000,000",140,آپارتمان,3,دارد,دارد,دارد,10 سال,"89,286,000"
86,آجودانیه 252متر 2جهت ویو 20متر تراس,آجودانیه,930,قیمت توافقی,۲۵۲,آپارتمان,۴,دارد,دارد,دارد,۶ سال,
87,فروش آپارتمان 118 متر در آجودانیه,آجودانیه,930,"23,000,000,000",118,آپارتمان,2,دارد,دارد,دارد,1 سال,"194,915,000"
88,فروش آپارتمان 100 متر در آجودانیه,آجودانیه,930,"12,400,000,000",100,آپارتمان,2,دارد,دارد,دارد,3 سال,"124,000,000"
89,آپارتمان 118 متر در آجودانیه,آجودانیه,930,"14,160,000,000",118,آپارتمان,2,دارد,دارد,دارد,5 سال,"120,000,000"
90,160 متری کلید نخورده در سپند / 2 پارکینگ سندی,آجودانیه,930,قیمت توافقی,۱۶۰,آپارتمان,۳,دارد,دارد,دارد,۱ سال,
91,آجودانیه 415 متر 4جهت ویو 30 متر تراس قابل چیدمان,آجودانیه,930,قیمت توافقی,۴۱۰,آپارتمان,۴,دارد,دارد,دارد,۱ سال,
92,آجودانیه 110 متر 2 خواب / فول بازسازی شده,آجودانیه,930,"11,000,000,000",115,آپارتمان,2,دارد,دارد,دارد,18 سال,"95,652,000"
93,فروش آپارتمان 154 متر در آجودانیه,آجودانیه,930,"24,640,000,000",154,آپارتمان,3,دارد,دارد,دارد,نوساز,"160,000,000"
94,فروش آپارتمان 210 متر در آجودانیه,آجودانیه,930,"30,000,000,000",210,آپارتمان,3,دارد,دارد,دارد,نوساز,"142,857,000"
95,فروش آپارتمان 125 متر در آجودانیه لوکس,آجودانیه,930,"12,000,000,000",125,آپارتمان,2,دارد,دارد,دارد,4 سال,"96,000,000"
96,فروش آپارتمان 135 متر در آجودانیه,آجودانیه,930,"12,500,000,000",135,آپارتمان,3,دارد,دارد,دارد,11 سال,"92,593,000"
97,فروش آپارتمان 110 متر در آجودانیه,آجودانیه,930,"10,700,000,000",110,آپارتمان,2,دارد,دارد,دارد,17 سال,"97,273,000"
98,فروش آپارتمان 310 متر در آجودانیه,آجودانیه,930,"30,000,000,000",310,آپارتمان,3,دارد,دارد,دارد,12 سال,"96,774,000"
99,فروش آپارتمان 120 متر در آجودانیه,آجودانیه,930,"14,000,000,000",120,آپارتمان,2,دارد,دارد,دارد,5 سال,"116,667,000"
100,فروش آپارتمان 198 متر در آجودانیه,آجودانیه,930,قیمت توافقی,۱۹۸,آپارتمان,۳,دارد,دارد,دارد,۲ سال,
101,216متر/3خواب/تاپ لوکیشن آجودانیه,آجودانیه,930,"31,000,000,000",216,آپارتمان,3,دارد,دارد,دارد,نوساز,"143,519,000"
102,100 متر 2 خواب آجودانیه,آجودانیه,930,"12,500,000,000",100,آپارتمان,2,دارد,دارد,دارد,4 سال,"125,000,000"
103,فروش آپارتمان 240 متر در آجودانیه,آجودانیه,930,"36,000,000,000",240,آپارتمان,3,دارد,دارد,دارد,5 سال,"150,000,000"
104,فروش آپارتمان 106 متر در آجودانیه فول باز سازی,آجودانیه,930,"11,000,000,000",106,آپارتمان,2,دارد,دارد,دارد,17 سال,"103,774,000"
105,فروش آپارتمان 120 متر در آجودانیه,آجودانیه,930,"14,000,000,000",120,آپارتمان,2,دارد,دارد,دارد,5 سال,"116,667,000"
106,فروش آپارتمان 180 متر در آجودانیه,آجودانیه,930,"21,600,000,000",180,آپارتمان,2,دارد,دارد,دارد,1 سال,"120,000,000"
107,فروش ویلا 450 متر در / تهراندشت,آجودانیه,930,قیمت توافقی,۴۵۰,خانه و کلنگی,۲,دارد,دارد,,نوساز,
108,فروش آپارتمان 101 متر در آجودانیه,آجودانیه,930,قیمت توافقی,۱۰۱,آپارتمان,۲,دارد,دارد,دارد,۳ سال,
109,فروش آپارتمان 136 متر در آجودانیه,آجودانیه,930,"15,900,000,000",136,آپارتمان,2,دارد,دارد,دارد,11 سال,"116,912,000"
110,آجودانیه 355 متر 4جهت ویو 30متر تراس قابل چیدمان,آجودانیه,930,قیمت توافقی,۳۵۵,آپارتمان,۴,دارد,دارد,دارد,۱ سال,
111,ویلا 163 متر سند تک برگ,آجودانیه,930,"8,900,000,000",163,ویلا,1,,دارد,,2 سال,"54,601,000"
112,فروش آپارتمان 100 متر در آجودانیه,آجودانیه,930,"11,800,000,000",100,آپارتمان,2,دارد,دارد,دارد,2 سال,"118,000,000"
113,فروش آپارتمان 230 متر در آجودانیه,آجودانیه,930,"25,000,000,000",230,آپارتمان,4,دارد,دارد,دارد,15 سال,"108,696,000"
114,فروش آپارتمان 175 متر در آجودانیه,آجودانیه,930,قیمت توافقی,۱۷۵,آپارتمان,۳,دارد,دارد,دارد,نوساز,
115,فروش آپارتمان 330 متر در آجودانیه,آجودانیه,930,"30,000,000,000",330,آپارتمان,4,دارد,دارد,دارد,15 سال,"90,909,000"
116,160 متری کلید نخورده سپند / 2 پارکینگ سندی,آجودانیه,930,قیمت توافقی,۱۶۰,آپارتمان,۳,دارد,دارد,دارد,۱ سال,
117,فروش آپارتمان 176 متر در آجودانیه,آجودانیه,930,"16,800,000,000",176,آپارتمان,3,دارد,دارد,دارد,12 سال,"95,455,000"
118,فروش آپارتمان 150 متر در آجودانیه,آجودانیه,930,"19,500,000,000",150,آپارتمان,3,دارد,دارد,دارد,12 سال,"130,000,000"
119,فروش آپارتمان 200 متر در آجودانیه,آجودانیه,930,"44,000,000,000",200,آپارتمان,3,دارد,دارد,دارد,نوساز,"220,000,000"
120,فروش آپارتمان 176 متر / بهترین لوکیشن آجودانیه,آجودانیه,930,"38,500,000,000",176,آپارتمان,3,دارد,دارد,,17 سال,"218,750,000"
121,فروش آپارتمان 160 متر در آجودانیه,آجودانیه,930,"26,000,000,000",160,آپارتمان,3,دارد,دارد,دارد,7 سال,"162,500,000"
122,فروش آپارتمان 100 متر در آجودانیه,آجودانیه,930,"12,000,000,000",100,آپارتمان,2,دارد,دارد,دارد,3 سال,"120,000,000"
123,فروش برج 360 4خواب فول مشاعات/سازه برند منطقه,آجودانیه,930,قیمت توافقی,۳۶۰,آپارتمان,۴,دارد,دارد,دارد,نوساز,
124,آجودانیه 120 متر دو خواب ویو ابدی فول مشاعات,آجودانیه,930,"26,400,000,000",120,آپارتمان,2,دارد,دارد,دارد,نوساز,"220,000,000"
125,فروش آپارتمان 181 متر در آجودانیه,آجودانیه,930,قیمت توافقی,۱۸۱,آپارتمان,۳,دارد,دارد,دارد,۱۵ سال,
126,فروش آپارتمان 240 متر در آجودانیه,آجودانیه,930,"26,400,000,000",240,آپارتمان,3,دارد,دارد,دارد,9 سال,"110,000,000"
127,فروش آپارتمان 90 متر در آجودانیه,آجودانیه,930,قیمت توافقی,۹۰,آپارتمان,۲,دارد,دارد,دارد,۱ سال,
128,فروش آپارتمان 310 متر در آجودانیه,آجودانیه,930,قیمت توافقی,۳۱۰,آپارتمان,۴,دارد,دارد,دارد,۱۵ سال,
129,فروش آپارتمان 135 متر در آجودانیه,آجودانیه,930,"12,500,000,000",135,آپارتمان,3,دارد,دارد,دارد,10 سال,"92,593,000"
130,فروش آپارتمان 135 متر در آجودانیه,آجودانیه,930,"11,500,000,000",135,آپارتمان,3,دارد,دارد,دارد,10 سال,"85,185,000"
131,آجودانیه 374متر 4جهت ویو ابدی 30متر تراس قابل چیدمان,آجودانیه,930,قیمت توافقی,۳۷۴,آپارتمان,۴,دارد,دارد,دارد,۱ سال,
132,فروش آپارتمان /149 متر /3خوابه/ آجودانیه,آجودانیه,930,"23,840,000,000",149,آپارتمان,3,دارد,دارد,دارد,نوساز,"160,000,000"
133,آجودانیه 400متر 5پارکینگ 200متر روف اختصاصی,آجودانیه,930,قیمت توافقی,۴۰۰,آپارتمان,۴,دارد,دارد,دارد,۱ سال,
134,اپارتمان 126.2متر گوهردشت شهرک کوه پایه ایی آسمان طبقه اول,آجودانیه,930,"41,164,000,000",126,آپارتمان,3,دارد,دارد,,16 سال,"326,698,000"
135,فروش آپارتمان 100 متر در آجودانیه فول امکانات,آجودانیه,930,"11,800,000,000",100,آپارتمان,2,دارد,دارد,دارد,6 سال,"118,000,000"
136,فروش آپارتمان 310 متر در آجودانیه,آجودانیه,930,قیمت توافقی,۳۱۰,آپارتمان,۴,دارد,دارد,دارد,۱ سال,
137,فروش آپارتمان 230 متر در آجودانیه,آجودانیه,930,"24,000,000,000",230,آپارتمان,3,دارد,دارد,دارد,12 سال,"104,348,000"
138,فروش آپارتمان 147 متر در آجودانیه,آجودانیه,930,"23,500,000,000",147,آپارتمان,3,دارد,دارد,,نوساز,"159,864,000"
139,فروش آپارتمان 155 متر در آجودانیه فوری,آجودانیه,930,"15,000,000,000",155,آپارتمان,3,دارد,دارد,دارد,17 سال,"96,774,000"
140,اوج هنر معماری/آکواریوم/ طراحی نوین/آجودانیه140مت,آجودانیه,930,"21,500,000,000",140,آپارتمان,3,دارد,دارد,دارد,1 سال,"153,571,000"
141,فروش آپارتمان 145 متر در آجودانیه,آجودانیه,930,"36,000,000,000",145,آپارتمان,2,دارد,دارد,دارد,1 سال,"248,276,000"
142,فروش آپارتمان 65 متر در آذربایجان,آذربایجان,931,"2,400,000,000",65,آپارتمان,2,دارد,دارد,,20 سال,"36,923,000"
143,فروش آپارتمان 44 متر در آذربایجان,آذربایجان,931,"2,400,000,000",44,آپارتمان,1,,دارد,,25 سال,"54,545,000"
144,فروش آپارتمان 64 متر در زنجان جنوبی/کلیدنخورده/فول امکانات,آذربایجان,931,"3,700,000,000",64,آپارتمان,2,دارد,دارد,دارد,نوساز,"57,813,000"
145,فروش آپارتمان 62 متر در آذربایجان,آذربایجان,931,"2,950,000,000",62,آپارتمان,2,,,,19 سال,"47,581,000"
146,فروش آپارتمان 50 متر در آذربایجان,آذربایجان,931,"1,500,000,000",50,آپارتمان,1,,,,23 سال,"30,000,000"
147,131متری/نوساز/فول/سه‌خواب/آذربایجان,آذربایجان,931,"9,500,000,000",131,آپارتمان,3,دارد,دارد,دارد,نوساز,"72,519,000"
148,فروش آپارتمان 61 متر در آذربایجان,آذربایجان,931,"2,600,000,000",61,آپارتمان,2,,دارد,,18 سال,"42,623,000"
149,خریدار نقد و فوری آپارتمان,آذربایجان,931,"1,800,000,000",50,آپارتمان,1,دارد,دارد,دارد,11 سال,"36,000,000"
150,فروش آپارتمان 41 متر در آذربایجان,آذربایجان,931,"1,650,000,000",41,آپارتمان,1,دارد,دارد,,21 سال,"40,244,000"
151,فروش آپارتمان 75 متر در آذربایجان,آذربایجان,931,"3,300,000,000",75,آپارتمان,2,,,,31 سال,"44,000,000"
152,فروش آپارتمان 61 متر در آذربایجان,آذربایجان,931,"2,450,000,000",61,آپارتمان,2,,دارد,,19 سال,"40,164,000"
153,80 متر/ تک واحدی /نوساز /ارومیه,آذربایجان,931,"5,000,000,000",80,آپارتمان,2,دارد,دارد,دارد,2 سال,"62,500,000"
154,فروش فوری ، 55متری خوش نقشه,آذربایجان,931,"2,300,000,000",55,آپارتمان,1,دارد,دارد,دارد,14 سال,"41,818,000"
155,فروش آپارتمان 43 متر/پارکینگدار,آذربایجان,931,"2,680,000,000",43,آپارتمان,1,دارد,دارد,,16 سال,"62,326,000"
156,فروش آپارتمان 59 متر در آذربایجان,آذربایجان,931,"2,750,000,000",59,آپارتمان,1,,دارد,,16 سال,"46,610,000"
157,فروش آپارتمان 64 متر در آذربایجان/زنجان/کلیدنخورده,آذربایجان,931,"3,600,000,000",64,آپارتمان,2,دارد,دارد,دارد,نوساز,"56,250,000"
158,فروش آپارتمان 67 متر در آذربایجان,آذربایجان,931,"2,690,000,000",67,آپارتمان,1,,دارد,,18 سال,"40,149,000"
159,فروش آپارتمان 146 متر در آذربایجان,آذربایجان,931,"8,300,000,000",146,آپارتمان,3,دارد,دارد,دارد,1 سال,"56,849,000"
160,فروش آپارتمان 60 متر در آذربایجان,آذربایجان,931,"3,100,000,000",60,آپارتمان,1,,دارد,دارد,9 سال,"51,667,000"
161,54 متر پارکینگ دار در آذربایجان,آذربایجان,931,"2,700,000,000",54,آپارتمان,1,دارد,دارد,,17 سال,"50,000,000"
162,42متر/فول‌امکانات/طوس,آذربایجان,931,"2,600,000,000",42,آپارتمان,1,دارد,دارد,,11 سال,"61,905,000"
163,فروش آپارتمان 73 متر در آذربایجان,آذربایجان,931,"3,000,000,000",73,آپارتمان,2,,دارد,,23 سال,"41,096,000"
164,40متری/سرمایه‌گذاری/دامپزشکی,آذربایجان,931,"1,420,000,000",40,آپارتمان,1,,دارد,دارد,8 سال,"35,500,000"
165,فروش آپارتمان 43 متر در آذربایجان,آذربایجان,931,"2,680,000,000",43,آپارتمان,1,دارد,دارد,,16 سال,"62,326,000"
